OCC2010,Occupation category description,1950,1960,1970,1980,1990,2000,ACS 2003-2009,
8640,"Chemical Processing Machine Setters, Operators, and Tenders",,,,757,757,864,8640,
8650,"Crushing, Grinding, Polishing, Mixing, and Blending Workers",555,490,641,756,756,865,8650,
8650,,,,501,,,,,
8710,Cutting Workers,,,612,769,769,871,8710,
8720,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",,,,755,755,872,8720,
8720,,,,,758,758,,,
8730,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",641,670,622,766,766,873,8730,
8730,,642,672,666,,,,,
8730,,680,712,,,,,,
8740,"Inspectors, Testers, Sorters, Samplers, and Weighers",533,450,452,689,689,874,8740,
8740,,,643,610,796,796,,,
8740,,,671,624,797,797,,,
8740,,,,625,798,798,,,
8740,,,,,799,799,,,
8750,Jewelers and Precious Stone and Metal Workers,534,451,453,647,647,875,8750,
8760,"Medical, Dental, and Ophthalmic Laboratory Technicians",,,426,678,678,876,8760,
8800,Packaging and Filling Machine Operators and Tenders,,693,643,754,754,880,8800,
8800,,,,604,,,,,
8810,Painting Workers and Dyers,634,652,644,759,759,881,8810,
8810,,670,694,620,,,,,
8830,Photographic Process Workers and Processing Machine Operators,671,695,645,774,774,883,8830,
8850,Adhesive Bonding Machine Operators and Tenders,,,,753,753,885,8850,
8860,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",,,,764,764,886,8860,
8910,"Etchers, Engravers, and Lithographers",521,424,435,649,649,891,8910,
8910,,571,503,515,735,735,,,
8920,"Molders, Shapers, and Casters, Except Metal and Plastic",,,546,786,786,892,8920,
8920,,,,543,787,787,,,
8920,,,,,789,789,,,
8920,,,,,793,793,,,
8920,,,,,795,795,,,
8920,,,,,675,675,,,
8920,,,,,794,,,,
8930,"Paper Goods Machine Setters, Operators, and Tenders",,,,765,765,893,8930,
8940,Tire Builders,,,,,,894,8940,
8950,Helpers--Production Workers,,,,873,874,895,8950,
8965,Other production workers including semiconductor processors and cooling and freezing equipment operators,594,545,690,693,693,884,8840,
8965,,520,423,692,777,777,890,8900,
8965,,690,775,694,779,779,896,8960,
8965,,,,695,,,,,
8965,,,,696,,,,,
#,TRANSPORTATION AND MATERIAL MOVING,,,,,,,,
9000,Supervisors of Transportation and Material Moving Workers,,,,803,803,900,9000,
9000,,,,,843,843,,,
9000,,,,,863,864,,,
9030,Aircraft Pilots and Flight Engineers,2,12,163,226,226,903,9030,
9030,,,,170,,,,,
9040,Air Traffic Controllers and Airfield Operations Specialists,,,164,227,227,904,9040,
9050,Flight Attendants and Transportation Workers and Attendants,,,931,465,463,455,4550,
9050,,,,,,,,,
9050,,,,,,,,,
9100,Bus and Ambulance Drivers and Attendants,625,641,703,808,808,912,9120,
9100,,,,,,,911,,
9130,Driver/Sales Workers and Truck Drivers,632,650,705,804,804,913,9130,
9130,,683,715,763,806,806,,,
9130,,960,971,715,805,,,,
9130,,,972,,,,,,
9140,Taxi Drivers and Chauffeurs,682,714,714,809,809,914,9140,
9150,"Motor Vehicle Operators, All Other",,,,814,814,915,9150,
9200,Locomotive Engineers and Operators,541,454,455,824,824,920,9200,
9200,,542,460,456,,,,,
9230,"Railroad Brake, Signal, and Switch Operators",624,713,712,825,825,923,9230,
9230,,681,640,713,,,,,
9240,Railroad Conductors and Yardmasters,203,252,226,823,823,924,9240,
9240,,631,645,,,,,,
9260,"Subway, Streetcar, and Other Rail Transportation Workers",661,691,704,826,826,926,9260,
9300,"Sailors and marine oilers, and ship engineers",673,703,661,829,829,930,9300,
9300,,,,701,833,833,933,9330,
9310,Ship and Boat Captains and Operators,240,265,221,828,828,931,9310,
9350,Parking Lot Attendants,,,711,813,813,935,9350,
9360,Automotive and Watercraft Service Attendants,621,632,623,,,936,9360,
9410,Transportation Inspectors,,,,,,941,9410,
9420,"Transportation workers, nec",623,860,710,,815,942,9420,
9420,,785,635,,834,834,934,9340,
9510,Crane and Tower Operators,513,415,,849,849,951,9510,
9520,"Dredge, Excavating, and Loading Machine Operators",522,425,,853,853,952,9520,
9560,"Conveyor operators and tenders, and hoist and winch operators",940,965,424,848,848,956,9560,
9560,,,,760,845,845,950,9500,
9600,Industrial Truck and Tractor Operators,,,,856,856,960,9600,
9610,Cleaners of Vehicles and Equipment,920,963,764,887,887,961,9610,
9620,"Laborers and Freight, Stock, and Material Movers, Hand",,973,762,883,883,962,9620,
9620,,,,753,877,877,,,
9620,,,,,889,889,,,
9630,Machine Feeders and Offbearers,,,,878,878,963,9630,
9640,"Packers and Packagers, Hand",,,634,888,888,964,9640,
9650,Pumping Station Operators,,,,885,885,965,9650,
9720,Refuse and Recyclable Material Collectors,,,754,875,875,972,9720,
9750,"Material moving workers, nec",761,831,943,454,454,973,9730,
9750,,660,690,706,859,859,974,9740,
9750,,970,985,726,,,975,9750,
9750,,,,770,,,,,
9750,,,,780,,,,,
9750,,,,785,,,,,
9750,,,,796,876,876,,,
#,MILITARY SPECIFIC,,,,,,,,
9800,Military Officer Special and Tactical Operations Leaders,,,,,903,980,9800,
9810,First-Line Enlisted Military Supervisors,,,,,,981,9810,
9820,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members,,,,,904,982,9820,
9830,"Military, Rank Not Specified",595,555,580,905,905,983,9830,
#,UNEMPLOYED OR NEVER WORKED,,,,,,,,
9920,"Unemployed, with No Work Experience in the Last 5 Years or Earlier or Never Worked",999,990,991,909,909,992,9920,
9920,,998,995,995,,0,,,
9920,,693,,0,0,,0,,
